subset	evidence	target
del	PP3_Supporting	2.39
del	BP4_Supporting	0.4184
del	PP3_Moderate	5.69
del	BP4_Moderate	0.1757
del	PP3_Moderate3	13.59
del	BP4_Moderate3	0.0736
del	PP3_Strong	32.42
del	BP4_Strong	0.0308
ins	PP3_Supporting	3.25
ins	BP4_Supporting	0.3077
ins	PP3_Moderate	10.55
ins	BP4_Moderate	0.0948
ins	PP3_Moderate3	34.28
ins	BP4_Moderate3	0.0292
ins	PP3_Strong	111.34
ins	BP4_Strong	0.009
pooled	PP3_Supporting	2.08
pooled	BP4_Supporting	0.4808
pooled	PP3_Moderate	4.33
pooled	BP4_Moderate	0.2309
pooled	PP3_Moderate3	9
pooled	BP4_Moderate3	0.1111
pooled	PP3_Strong	18.7
pooled	BP4_Strong	0.0535
